component_id,country,city_name,centroid_lat,centroid_lon,need_composite_z,support_residual_z,residual_public_support_gap_z,canonical_2024_q75,denominator_uncertainty_flag,available_field_expected_support_z,available_field_support_residual_z,available_field_q75,within_between_expected_support_z,within_between_support_residual_z,within_between_q75,country_fe_expected_support_z,country_fe_support_residual_z,country_fe_q75,need_no_hazard_z,no_hazard_support_residual_z,no_hazard_q75,dirichlet_selection_count,dirichlet_selection_frequency,weight_stability_class,model_core_primary_available_country_fe,graded_core_primary_available_within_between_frequency
2665,Malaysia,Kuantan,3.8227893081242974,103.31670689850807,0.840159603084165,-0.8839705651761958,0.8839705651761958,True,True,0.43284267350087974,-1.0947972399320243,True,0.39387790077701257,-1.0558324672081572,True,0.057249943212411225,-0.7192045096435558,True,1.0656549015180152,-1.2306806001029431,True,674,0.674,0.50-<0.80,True,True
2700,Romania,Galați,45.43805184244556,28.02057555582976,1.6483763853786446,-1.1604953897400383,1.1604953897400383,True,True,0.7145707999994471,-1.1223233471200589,True,0.6619083655956838,-1.0696609127162957,True,0.6150489978823541,-1.022801545002966,True,1.5674383640645437,-1.256110946845717,True,1000,1.0,>=0.80,True,True
2726,Thailand,Trang,7.560055563259256,99.6111106250056,1.1925690003505984,-0.9279887349575522,0.9279887349575522,True,True,0.597034497950154,-1.0348847726262413,True,0.5619113352242703,-0.9997616099003577,True,0.595055049954465,-1.0329053246305524,True,0.868397274908978,-0.9916588495990609,True,1000,1.0,>=0.80,True,True
2749,Spain,Marbella,36.49587379648291,-4.956322504768691,1.820491855989092,-1.8675251288422137,1.8675251288422137,True,True,0.6771637237973471,-1.6716265184604135,True,0.46378829272422745,-1.4582510873872938,True,0.34474108384891256,-1.339203878511979,True,2.1029484159701184,-1.9849555626437294,True,965,0.965,>=0.80,True,True
2764,Romania,Brăila,45.27467664174067,27.95771216560702,0.9050557417512044,-1.1431488499112428,1.1431488499112428,True,True,0.430478741480455,-0.9884593399926835,True,0.6464017293850803,-1.2043823278973087,True,0.5995423616717468,-1.1575229601839752,True,0.6341976973880201,-0.9501929713218518,False,864,0.864,>=0.80,True,True
2800,México,Tecoman,18.91223845395614,-103.87945111768296,0.7415198288383381,-1.378100849430328,1.378100849430328,True,True,0.4099088876567756,-1.5616355661270251,True,0.5178180520683657,-1.6695447305386153,True,0.16603526380472328,-1.317761942274973,True,0.9418124528154385,-1.6747232395102336,True,682,0.682,0.50-<0.80,True,True
2812,Spain,Córdoba,37.8872596252307,-4.7851000245410775,0.6859062413371967,-1.262445445778042,1.262445445778042,True,False,0.3247297456922013,-0.8363259675388484,True,0.5532800892148729,-1.06487631106152,True,0.4342328803395454,-0.9458291021861924,True,0.6784737367090513,-0.8852468638021556,True,485,0.485,0.20-<0.50,True,False
2827,Romania,Constanța,44.188811939423054,28.631353708680223,1.0920643744117433,-1.120425755711141,1.120425755711141,True,True,0.701599647257711,-1.0065508651953339,True,0.8391874011231691,-1.144138619060792,True,0.7923280334098388,-1.0972792513474618,True,0.8689874378783428,-0.9647655260288048,True,979,0.979,>=0.80,True,True
2874,Côte d'Ivoire,Dabou,5.326520356108992,-4.376279069120959,0.6205081347978093,-1.8231521877309875,1.8231521877309875,True,True,0.7080088233238471,-2.0145238149365428,True,0.7169235264103658,-2.023438518023062,True,-0.1860600100844112,-1.1204549815282847,True,0.7898820106970551,-2.0512832510317374,True,456,0.456,0.20-<0.50,True,False
2894,Russia,Oryol,52.969969588085135,36.08355317797731,1.4448495167362156,-1.202281556957561,1.202281556957561,True,True,0.5564466663176098,-1.0490200820036533,True,0.5355702786825031,-1.0281436943685465,True,0.17351706102590103,-0.6660904767119444,True,0.7859110072917888,-0.9877546025485648,True,772,0.772,0.50-<0.80,True,True
2901,Iraq,koya,36.08258405983353,44.63292283338054,0.7327846131073558,-0.8531345680311899,0.8531345680311899,True,True,-0.25156741195049576,-1.0627651712350508,True,-0.5687741056482507,-0.7455584775372959,True,-0.10829030269803752,-1.206042280487509,True,0.9308453706790362,-1.351165178685384,True,606,0.606,0.50-<0.80,True,True
2915,Thailand,Nakhon Si Thammarat,8.434094389327614,99.95976580758294,1.3214053543944284,-0.8732403751116139,0.8732403751116139,True,False,0.6517243896901528,-0.9983694293496472,True,0.5955859336389309,-0.9422309732984253,True,0.6287296483691255,-0.97537468802862,True,1.030151594489399,-0.9838756399902895,True,937,0.937,>=0.80,True,True
2930,Venezuela,San Carlos,9.655612533044902,-68.58114512654703,0.6723455672706208,-1.7601877087455409,1.7601877087455409,True,True,0.47749216463196864,-1.9239420453986948,True,0.39321987891485977,-1.8396697596815859,True,-0.077350546154066,-1.36909933461266,True,0.8549640186494305,-2.011433877663515,True,499,0.499,0.20-<0.50,True,False
2937,Spain,Fuengirola,36.54306355035559,-4.626195127760844,1.269188001605703,-1.387327823590777,1.387327823590777,True,True,0.533423882742357,-1.0947921042694877,True,0.5277094235598148,-1.0890776450869453,True,0.4086622146844959,-0.9700304362116265,True,1.410785241145172,-1.2681506579474324,True,944,0.944,>=0.80,True,True
3016,Russia,Sergiyev Posad,56.30944000315393,38.14118683379869,2.004113173516029,-1.949928268744994,1.949928268744994,True,True,0.7242254685078836,-1.885463550058435,True,0.5212870202237969,-1.682525101774348,True,0.1592338025671971,-1.3204718841177483,True,1.4880677311439783,-1.9604154602942523,True,969,0.969,>=0.80,True,True
3024,Iran,Kamyaran,34.79531675956501,46.94375401319248,0.7178890306177482,-1.011821471283756,1.011821471283756,True,True,-0.09787757463281088,-1.210331228487336,True,-0.22634960709262664,-1.0818591960275201,True,-0.47999244899544025,-0.8282163541247066,True,-0.09820885912783087,-1.0481462175203635,False,482,0.482,0.20-<0.50,True,False
3056,Spain,Torremolinos,36.613529764803495,-4.522319673058799,0.9081516209577124,-0.8646475791554302,0.8646475791554302,True,True,0.5901820465974795,-1.0897912946990886,True,0.656881825536083,-1.1564910736376919,True,0.5378346166607629,-1.037443864762372,True,1.151019026183434,-1.2181989838044378,True,643,0.643,0.50-<0.80,True,True
3099,Malaysia,Sibu,2.304622581787489,111.84455865842706,0.6214900484704844,-1.0492977802481676,1.0492977802481676,True,True,0.48336654117806,-1.218676175201122,True,0.48655198271182293,-1.2218616167348848,True,0.14992402514722125,-0.8852336591702831,True,0.791114805424825,-1.2808924486560582,True,418,0.418,0.20-<0.50,True,False
