draw,retained_2024,countries_2024,overlap_with_primary_count_2024,jaccard_vs_primary_q75_2024,w_demand,w_hazard,w_urban_form
240,760,92,526,0.5943502824858757,0.2824602030651422,0.2117257988038291,0.5058139981310286
241,598,94,424,0.5139393939393939,0.0622113820571352,0.5849669713328319,0.3528216466100328
242,735,98,470,0.5131004366812227,0.0264769707217116,0.4140110066418374,0.5595120226364508
243,640,86,489,0.6097256857855362,0.2006920425959907,0.5030571583431754,0.2962507990608338
244,740,86,533,0.6212121212121212,0.3511190366627579,0.2031563740360015,0.4457245893012405
245,555,86,345,0.40069686411149824,0.0163072213201411,0.6999720423864969,0.283720736293362
246,718,85,465,0.5143805309734514,0.377527836882816,0.0853653146447525,0.5371068484724313
247,748,87,510,0.5736782902137233,0.32959382314176,0.1648118698940262,0.5055943069642138
248,630,71,346,0.3700534759358289,0.7616095792051237,0.044676499292473,0.1937139215024031
249,716,85,465,0.5155210643015521,0.3836467426277686,0.0847982749703702,0.5315549824018612
250,673,70,294,0.2854368932038835,0.8635145922770433,0.1108288871335374,0.025656520589419
251,642,78,416,0.47434435575826683,0.5548280755515717,0.0035262908611343,0.441645633587294
252,503,80,253,0.2807991120976693,0.0102918283290068,0.8794677208956254,0.1102404507753676
253,761,96,428,0.4349593495934959,0.1112904109052586,0.1196282236162606,0.7690813654784807
254,713,82,510,0.5971896955503513,0.4409605913563517,0.1722567170531924,0.3867826915904558
255,718,91,525,0.6220379146919431,0.1620699175206598,0.380990954299066,0.4569391281802741
256,715,94,517,0.6089517078916372,0.1390708042386716,0.4066578448075476,0.4542713509537808
257,666,71,339,0.34662576687116564,0.7687507750554263,0.126837580679931,0.1044116442646426
258,562,86,353,0.4104651162790698,0.0544500182633294,0.6763443576405221,0.2692056240961484
259,710,89,577,0.735969387755102,0.2691568424881387,0.3612724060274107,0.3695707514844505
260,748,95,520,0.5915813424345847,0.1656909661541765,0.3177838039689114,0.516525229876912
261,681,70,363,0.3746130030959752,0.7002138317010453,0.2006848866340728,0.0991012816648817
262,675,70,422,0.4668141592920354,0.5607046619148823,0.3776557405176942,0.0616395975674234
263,651,67,264,0.2543352601156069,0.9678202847378864,0.0267047992847701,0.0054749159773434
264,561,86,346,0.3995381062355658,0.134672592842699,0.6700496756215355,0.1952777315357654
265,513,80,265,0.29477196885428253,0.0851208243877219,0.8379577842331839,0.076921391379094
266,718,78,518,0.6086956521739131,0.4990405773064398,0.2609942421234875,0.2399651805700726
267,655,85,513,0.6469104665825978,0.2665838779048301,0.4657100421156709,0.2677060799794988
268,510,79,266,0.29720670391061454,0.0524559500319368,0.8369492543283935,0.1105947956396697
269,675,81,440,0.4966139954853273,0.5018644616341646,0.0448718349672246,0.4532637033986106
270,679,79,452,0.5148063781321185,0.5352517184088967,0.0779985445086662,0.386749737082437
