match_id,control_id,event_component_id,event_date_utc,event_country,dominant_hazard,control_component_id,control_country,observed_event_gpm_mm,control_gpm_mm,observed_diff,false_event_source_event_component_id,false_event_date_utc,false_event_source_country,false_event_source_rule,false_event_gpm_mm,false_event_diff,observed_minus_false_event_diff,false_event_status
6023|2020-01-02|Ciudad Valles,6023|2020-01-02|Ciudad Valles|ctrl1,6023,2020-01-02,México,low_vis_5km,5931,México,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
6023|2020-01-02|Ciudad Valles,6023|2020-01-02|Ciudad Valles|ctrl2,6023,2020-01-02,México,low_vis_5km,5730,México,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
6023|2020-01-02|Ciudad Valles,6023|2020-01-02|Ciudad Valles|ctrl3,6023,2020-01-02,México,low_vis_5km,913,México,0.0,0.0,0.0,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4225|2020-01-19|Stalowa Wola,4225|2020-01-19|Stalowa Wola|ctrl1,4225,2020-01-19,Poland,fog,3850,Poland,0.0,0.0,0.0,4263.0,2020-11-09,Poland,same_year_hazard_control_country,0.0,0.0,0.0,ok
4225|2020-01-19|Stalowa Wola,4225|2020-01-19|Stalowa Wola|ctrl2,4225,2020-01-19,Poland,fog,3403,Poland,0.0,0.0,0.0,4263.0,2020-11-09,Poland,same_year_hazard_control_country,0.0,0.0,0.0,ok
4225|2020-01-19|Stalowa Wola,4225|2020-01-19|Stalowa Wola|ctrl3,4225,2020-01-19,Poland,fog,1080,Poland,0.0,0.0,0.0,4263.0,2020-11-09,Poland,same_year_hazard_control_country,0.0,0.0,0.0,ok
4225|2020-11-09|Stalowa Wola,4225|2020-11-09|Stalowa Wola|ctrl1,4225,2020-11-09,Poland,fog,3850,Poland,0.0,0.0,0.0,4263.0,2020-01-19,Poland,same_year_hazard_control_country,0.0,0.0,0.0,ok
4225|2020-11-09|Stalowa Wola,4225|2020-11-09|Stalowa Wola|ctrl2,4225,2020-11-09,Poland,fog,3403,Poland,0.0,0.0,0.0,4263.0,2020-01-19,Poland,same_year_hazard_control_country,0.0,0.0,0.0,ok
4225|2020-11-09|Stalowa Wola,4225|2020-11-09|Stalowa Wola|ctrl3,4225,2020-11-09,Poland,fog,1080,Poland,0.0,0.0,0.0,4263.0,2020-01-19,Poland,same_year_hazard_control_country,0.0,0.0,0.0,ok
4942|2021-09-02|Celaya,4942|2021-09-02|Celaya|ctrl1,4942,2021-09-02,México,low_ceiling_1000m,6696,México,1.25,0.0,1.25,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4942|2021-09-02|Celaya,4942|2021-09-02|Celaya|ctrl2,4942,2021-09-02,México,low_ceiling_1000m,4288,México,1.25,0.26,0.99,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4942|2021-09-02|Celaya,4942|2021-09-02|Celaya|ctrl3,4942,2021-09-02,México,low_ceiling_1000m,4134,México,1.25,0.086111,1.163889,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4942|2021-10-03|Celaya,4942|2021-10-03|Celaya|ctrl1,4942,2021-10-03,México,low_ceiling_1000m,6696,México,0.101111,0.0,0.101111,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4942|2021-10-03|Celaya,4942|2021-10-03|Celaya|ctrl2,4942,2021-10-03,México,low_ceiling_1000m,4288,México,0.101111,0.058333,0.042778,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4942|2021-10-03|Celaya,4942|2021-10-03|Celaya|ctrl3,4942,2021-10-03,México,low_ceiling_1000m,4134,México,0.101111,0.484444,-0.383333,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4379|2021-04-05|Karadeniz Ereğli,4379|2021-04-05|Karadeniz Ereğli|ctrl1,4379,2021-04-05,Turkey,thunder_or_convective,858,Turkey,0.449444,0.001111,0.448333,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4379|2021-04-05|Karadeniz Ereğli,4379|2021-04-05|Karadeniz Ereğli|ctrl2,4379,2021-04-05,Turkey,thunder_or_convective,3459,Turkey,0.449444,0.238889,0.210555,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4379|2021-04-05|Karadeniz Ereğli,4379|2021-04-05|Karadeniz Ereğli|ctrl3,4379,2021-04-05,Turkey,thunder_or_convective,4341,Turkey,0.449444,1.481667,-1.032223,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4379|2021-04-08|Karadeniz Ereğli,4379|2021-04-08|Karadeniz Ereğli|ctrl1,4379,2021-04-08,Turkey,low_ceiling_1000m,858,Turkey,1.235556,0.050556,1.185,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4379|2021-04-08|Karadeniz Ereğli,4379|2021-04-08|Karadeniz Ereğli|ctrl2,4379,2021-04-08,Turkey,low_ceiling_1000m,3459,Turkey,1.235556,0.070556,1.165,,,,missing_false_event_donor,,,,missing_false_event_or_metric
4379|2021-04-08|Karadeniz Ereğli,4379|2021-04-08|Karadeniz Ereğli|ctrl3,4379,2021-04-08,Turkey,low_ceiling_1000m,4341,Turkey,1.235556,0.4,0.835556,,,,missing_false_event_donor,,,,missing_false_event_or_metric
10954|2021-05-07|Giridih,10954|2021-05-07|Giridih|ctrl1,10954,2021-05-07,India,low_vis_5km,10132,India,0.0,0.0,0.0,10936.0,2021-01-04,India,same_year_hazard_control_country,0.0,0.0,0.0,ok
10954|2021-05-07|Giridih,10954|2021-05-07|Giridih|ctrl2,10954,2021-05-07,India,low_vis_5km,11432,India,0.0,0.0,0.0,10936.0,2021-01-04,India,same_year_hazard_control_country,0.0,0.0,0.0,ok
10954|2021-05-07|Giridih,10954|2021-05-07|Giridih|ctrl3,10954,2021-05-07,India,low_vis_5km,10080,India,0.0,1.312222,-1.312222,10936.0,2021-01-04,India,same_year_hazard_control_country,0.0,-1.312222,0.0,ok
10954|2021-01-04|Giridih,10954|2021-01-04|Giridih|ctrl1,10954,2021-01-04,India,low_vis_5km,10132,India,0.0,0.0,0.0,10936.0,2021-05-07,India,same_year_hazard_control_country,0.0,0.0,0.0,ok
10954|2021-01-04|Giridih,10954|2021-01-04|Giridih|ctrl2,10954,2021-01-04,India,low_vis_5km,11432,India,0.0,0.0,0.0,10936.0,2021-05-07,India,same_year_hazard_control_country,0.0,0.0,0.0,ok
10954|2021-01-04|Giridih,10954|2021-01-04|Giridih|ctrl3,10954,2021-01-04,India,low_vis_5km,10080,India,0.0,0.0,0.0,10936.0,2021-05-07,India,same_year_hazard_control_country,0.0,0.0,0.0,ok
