component_id,country,city_name,need_composite_z,public_support_z,expected_public_support_z,support_residual_z,residual_deficit_q75,available_field_expected_public_support_z,available_field_support_residual_z,available_field_q75_flag
145,Madagascar,Toliara,-0.8727867513161907,-0.4567427876438101,0.1820004310231966,-0.6387432186670068,False,0.12063499439672877,-0.5773777820405389,False
146,Yemen,Harad,-1.102509158760322,-1.147948175876705,-0.4403652045887783,-0.7075829712879267,False,-0.5073903196384628,-0.6405578562382421,False
147,Djibouti,Ali Sabieh,-1.0787378413843434,-0.1732247999350868,-0.1012746062520917,-0.0719501936829951,False,-0.25533101191065377,0.08210621197556697,False
148,Comoros,Moroni,-0.93282595001494,-0.2454072287910757,0.3546136430521699,-0.6000208718432456,False,0.2895237702124198,-0.5349309990034955,False
149,Kuwait,Al Jahra,0.562873548581343,1.5926388431790357,0.2492730158668349,1.3433658273122009,False,0.4303677842162549,1.162271058962781,False
150,Mayotte,Mamoudzou,0.3329507692336732,-0.5220196772771146,0.3710676600465409,-0.8930873373236555,False,0.35494848020688574,-0.8769681574840004,False
151,Turkmenistan,Turkmenbashy,-0.0630617198392391,-0.2198697629864298,0.2587356125118757,-0.4786053754983055,False,0.32573977578200836,-0.5456095387684381,False
152,Bahrain,Manama,0.7702739466020107,1.25648240554645,0.6538469550531341,0.602635450493316,False,0.5784608118406258,0.6780215937058243,False
153,Qatar,Doha,1.330030404490136,1.4692511895208735,0.6463919742098652,0.8228592153110086,False,0.6589914088191127,0.8102597807017609,False
154,Uzbekistan,Kungrad,-1.3529023383234826,0.7222151681385361,0.1324483276201334,0.5897668405184027,False,-0.02576011500469261,0.7479752831432288,False
155,United Arab Emirates,Al Ruways Industrial city,0.4634220742475317,-0.9809123026034586,0.620607116778842,-1.6015194193823006,False,0.5003712003205519,-1.4812835029240106,False
156,Oman,Salalah,0.0544182103747267,-0.2650815009160838,0.2692408285886778,-0.5343223295047617,False,0.348552625383348,-0.6136341262994318,False
157,Réunion,Le Port,0.8264663752128452,-0.3628013955767193,0.5674633670308543,-0.9302647626075736,True,0.6398660862209046,-1.0026674817976238,True
158,Afghanistan,Islam Qala,-1.5223801567771846,-1.234984028721111,-1.4528901702831036,0.2179061415619927,False,-1.5320508175455463,0.2970667888244354,False
159,Mauritius,Port Louis,1.4398674944399277,-0.5394789651231482,0.3760648523908704,-0.9155438175140186,True,0.5336101221901853,-1.0730890873133334,True
160,Tajikistan,Nijoni,-1.4505502324303028,0.9195442087565794,-0.4368384582661445,1.356382667022724,False,-0.656477744480867,1.5760219532374464,False
161,Pakistan,Gwādar,-0.8284264803399523,-0.5779154570229981,0.1308061602488336,-0.7087216172718317,False,0.07015489083433915,-0.6480703478573372,False
162,Kyrgyzstan,Kara-Balta,0.1956433755604106,-0.7923780525048727,0.1222969646730479,-0.9146750171779208,False,0.15356027781686038,-0.945938330321733,False
163,China,Kashgar,0.3302683811098746,-0.5499024205536159,-0.1438647477330994,-0.4060376728205165,False,-0.11821480068686097,-0.43168761986675497,False
164,India,Kralpora,-0.2371514873582265,-1.338827703447146,-0.1282794130873157,-1.21054829035983,False,-0.6577746670722495,-0.6810530363748966,False
165,Maldives,Malé,0.5194101439912551,-0.1545928733531253,-0.102511967399973,-0.0520809059531522,False,-0.01721390042737852,-0.13737897292574677,False
166,Nepal,Babathan,-1.4092361149789283,-0.1695114439379823,-0.0237800915145773,-0.145731352423405,False,-0.2045013007313331,0.034989856793350815,False
167,Sri Lanka,Jaffna,-0.0467986446578149,-0.4381108610618493,0.3402270248603893,-0.7783378859222387,False,0.2776346086046215,-0.7157454696664709,False
168,Mongolia,Erdenet,-1.069042174306758,-1.2171338612964346,-0.1448383112057416,-1.072295550090693,False,-0.30458181458024275,-0.9125520467161918,False
169,Bangladesh,Thakurgaon,1.146895294264053,-0.4414984840767512,0.1705937009847939,-0.6120921850615453,False,0.35932819616333417,-0.8008266802400854,True
170,Bhutan,Phuntsholing,0.0655213938712482,-1.3853423733056085,-0.4755070262516476,-0.9098353470539609,False,-0.523314876048464,-0.8620274972571444,False
171,Myanmar,Kyauktaw,-1.1511935288020887,-1.1132901865703997,-0.6265298094895895,-0.4867603770808102,False,-0.7297267645337606,-0.38356342203663907,False
172,Indonesia,Banda Aceh,0.6173947915094886,-0.5797395617233297,0.1216655363292164,-0.7014050980525461,True,0.5333409229408853,-1.113080484664215,True
